player_id,player_name,first_name,last_name,age,nationality,height,weight,birth_date,birth_place,birth_country,photo
119,R. Falcao,Radamel Falcao,García Zárate,39.0,Colombia,177,72,1986-02-10,Santa Marta,Colombia,https://media.api-sports.io/football/players/119.png
583,João Félix,João,Félix Sequeira,26.0,Portugal,181,70,1999-11-10,Viseu,Portugal,https://media.api-sports.io/football/players/583.png
855,João Cancelo,João Pedro,Cavaco Cancelo,31.0,Portugal,182,74,1994-05-27,Barreiro,Portugal,https://media.api-sports.io/football/players/855.png
915,Gabriel Paulista,Gabriel Armando,de Abreu,35.0,Brazil,185,72,1990-11-26,São Paulo,Brazil,https://media.api-sports.io/football/players/915.png
2273,Kepa,Kepa,Arrizabalaga Revuelta,31.0,Spain,189,84,1994-10-03,Ondárroa,Spain,https://media.api-sports.io/football/players/2273.png
2824,N. Maksimović,Nemanja,Maksimović,30.0,Serbia,189,69,1995-01-26,Banja Koviljača,Serbia,https://media.api-sports.io/football/players/2824.png
18907,Joselu,José Luis,Sanmartín Mato,35.0,Spain,191,82,1990-03-27,Stuttgart,Germany,https://media.api-sports.io/football/players/18907.png
47516,Aleix García,Aleix,García Serrano,28.0,Spain,173,68,1997-06-28,Ulldecona,Spain,https://media.api-sports.io/football/players/47516.png
162547,T. Zidane,Theo,Zidane Fernández,23.0,France,196 cm,74 kg,2002-05-18,Marseille,France,https://media.api-sports.io/football/players/162547.png
189997,Mario de Luis,Mario,de Luis Jiménez,23.0,Spain,185,75,2002-06-05,Madrid,Spain,https://media.api-sports.io/football/players/189997.png
197448,Yan Couto,Yan,Bueno Couto,23.0,Brazil,168,60,2002-06-03,Curitiba,Brazil,https://media.api-sports.io/football/players/197448.png
206260,Lucas Cañizares,Lucas,Cañizares Conchello,23.0,Spain,188 cm,81 kg,2002-05-10,Valencia,Spain,https://media.api-sports.io/football/players/206260.png
237174,Álvaro Carrillo,Álvaro,Carrillo Alacid,23.0,Spain,182 cm,72 kg,2002-04-06,Murcia,Spain,https://media.api-sports.io/football/players/237174.png
266657,Sávio,Sávio,Moreira de Oliveira,21.0,Brazil,179,66,2004-04-10,São Mateus,Brazil,https://media.api-sports.io/football/players/266657.png
279792,Vinícius Tobias,Vinícius Augusto,Tobias da Silva,21.0,Brazil,177,67,2004-02-23,São Paulo,Brazil,https://media.api-sports.io/football/players/279792.png
330438,Edgar Pujol,Edgar Climent,Pujol Portorreal,21.0,Spain,177,70,2004-08-07,Sabadell,Spain,https://media.api-sports.io/football/players/330438.png
334575,Diego Piñeiro,Diego,Piñeiro del Álamo,21.0,Spain,185 cm,69 kg,2004-02-13,Madrid,Spain,https://media.api-sports.io/football/players/334575.png
176,E. Lamela,Erik Manuel,Lamela Cordero,33.0,Argentina,181,79,1992-03-04,Florida,Argentina,https://media.api-sports.io/football/players/176.png
385,Óliver Torres,Óliver,Torres Muñoz,31.0,Spain,178,70,1994-11-10,Navalmoral de la Mata,Spain,https://media.api-sports.io/football/players/385.png
