venue_id,venue_name,venue_city,venue_capacity,venue_surface
1467.0,Abanca-Balaídos,Vigo,31800.0,grass
20421.0,Stage Front Stadium,Cornella de Llobregat,40423.0,grass
19939.0,Estadi Olímpic Lluís Companys,Barcelona,,
19217.0,Riyadh Air Metropolitano,Madrid,,
1497.0,Estadio de Mestalla,Valencia,,
1481.0,Estadio de Gran Canaria,Las Palmas de Gran Canaria,,
1494.0,Estadio Ramón Sánchez Pizjuán,Sevilla,,
1491.0,Reale Arena,Donostia-San Sebastián,,
1492.0,Estadio Municipal José Zorrilla,Valladolid,,
1486.0,Estadio El Sadar,Iruñea,,
19940.0,Estadi Mallorca Son Moix,Palma de Mallorca,,
1489.0,Estadio Benito Villamarín,Sevilla,,
1456.0,Estadio Santiago Bernabéu,Madrid,,
1464.0,Estadio Municipal de Butarque,Leganés,,
1474.0,RCDE Stadium,Cornella de Llobregat,,
1470.0,Estadio de Mendizorroza,Vitoria-Gasteiz,,
20422.0,Estadio Coliseum,Getafe,,
1488.0,Estadio de Vallecas,Madrid,,
1478.0,Estadi Municipal de Montilivi,Girona,,
1498.0,Estadio de la Cerámica,Villarreal,,
1460.0,San Mamés Barria,Bilbao,,
