team_a_id,team_b_id,matches_played,team_a_wins,team_b_wins,draws,team_a_goals,team_b_goals
529,530,2,1,1,0,5,4
529,531,2,2,0,0,5,1
529,532,2,2,0,0,9,2
529,533,2,1,1,0,7,4
529,534,2,1,1,0,3,2
529,536,2,2,0,0,9,2
529,537,2,1,1,0,1,1
529,538,2,1,0,1,6,5
529,540,2,2,0,0,5,1
529,541,2,2,0,0,8,3
529,542,2,2,0,0,4,0
529,543,2,0,0,2,3,3
529,546,2,1,0,1,2,1
529,547,2,2,0,0,8,2
529,548,2,1,1,0,4,1
529,720,2,2,0,0,9,1
529,727,2,1,1,0,5,4
529,728,2,2,0,0,3,1
529,798,2,2,0,0,6,1
530,531,2,2,0,0,2,0
530,532,2,2,0,0,6,0
530,533,2,0,0,2,3,3
530,534,2,1,1,0,2,1
530,536,2,2,0,0,6,4
530,537,2,1,1,0,3,2
530,538,2,1,0,1,2,1
530,540,2,0,0,2,1,1
530,541,2,0,0,2,2,2
530,542,2,1,0,1,2,1
530,543,2,1,1,0,4,2
530,546,2,1,1,0,2,2
530,547,2,2,0,0,7,0
530,548,2,1,0,1,5,1
530,720,2,2,0,0,9,2
530,727,2,1,1,0,1,2
530,728,2,1,0,1,4,1
530,798,2,2,0,0,3,0
531,532,2,2,0,0,2,0
531,533,2,1,0,1,2,0
531,534,2,2,0,0,4,2
531,536,2,1,0,1,2,1
531,537,2,1,0,1,2,0
531,538,2,2,0,0,5,2
531,540,2,1,0,1,5,2
531,541,2,1,1,0,2,2
531,542,2,1,0,1,2,1
531,543,2,0,0,2,3,3
531,546,2,1,0,1,3,1
531,547,2,1,1,0,4,2
531,548,2,1,0,1,1,0
531,720,2,1,0,1,8,2
531,727,2,1,0,1,2,1
531,728,2,2,0,0,5,2
531,798,2,0,0,2,1,1
532,533,2,0,0,2,2,2
532,534,2,1,1,0,5,5
532,536,2,1,0,1,2,1
532,537,2,1,0,1,2,0
532,538,2,1,1,0,3,4
532,540,2,0,0,2,2,2
532,541,2,1,1,0,3,3
532,542,2,0,1,1,2,3
532,543,2,1,0,1,5,3
532,546,2,1,0,1,4,1
532,547,2,1,0,1,3,1
532,548,2,1,1,0,1,3
532,720,2,1,1,0,2,2
532,727,2,0,0,2,3,3
532,728,2,0,1,1,1,2
532,798,2,1,1,0,2,2
533,534,2,2,0,0,5,2
533,536,2,2,0,0,6,3
533,537,2,2,0,0,8,2
533,538,2,1,1,0,4,6
533,540,2,2,0,0,3,1
533,541,2,0,2,0,1,4
533,542,2,1,1,0,3,1
533,543,2,1,1,0,3,3
533,546,2,1,0,1,3,2
533,547,2,1,0,1,3,2
533,548,2,0,1,1,2,3
533,720,2,2,0,0,7,2
533,727,2,1,0,1,6,4
533,728,2,1,0,1,2,1
533,798,2,2,0,0,6,1
534,536,2,0,1,1,2,3
534,537,2,0,2,0,1,3
534,538,2,0,1,1,1,2
534,540,2,1,1,0,1,2
534,541,2,0,1,1,2,5
534,542,2,0,1,1,2,4
534,543,2,0,1,1,1,2
534,546,2,1,1,0,4,3
534,547,2,1,1,0,2,2
534,548,2,0,1,1,1,3
534,720,2,1,0,1,3,2
534,727,2,0,1,1,2,3
534,728,2,1,1,0,3,2
534,798,2,0,2,0,3,6
536,537,2,0,1,1,2,3
536,538,2,1,1,0,3,3
536,540,2,1,0,1,3,1
536,541,2,0,2,0,2,6
536,542,2,0,1,1,2,3
536,543,2,1,1,0,2,2
536,546,2,1,0,1,1,0
536,547,2,1,1,0,2,3
536,548,2,1,1,0,1,2
536,720,2,2,0,0,6,1
536,727,2,0,1,1,1,2
536,728,2,1,0,1,2,1
536,798,2,0,0,2,1,1
537,538,2,1,1,0,4,2
537,540,2,1,0,1,4,3
537,541,2,0,2,0,2,6
537,542,2,0,0,2,4,4
537,543,2,0,2,0,2,5
537,546,2,1,0,1,2,1
537,547,2,0,1,1,4,5
537,548,2,0,2,0,0,6
537,720,2,1,0,1,3,0
537,727,2,0,0,2,2,2
537,728,2,0,1,1,1,2
537,798,2,0,1,1,0,1
538,540,2,0,2,0,1,5
538,541,2,0,2,0,3,5
538,542,2,1,0,1,3,2
538,543,2,1,0,1,5,4
538,546,2,2,0,0,3,1
538,547,2,0,0,2,3,3
538,548,2,2,0,0,3,0
538,720,2,2,0,0,4,1
538,727,2,1,1,0,3,3
538,728,2,0,2,0,2,4
538,798,2,2,0,0,4,1
540,541,2,1,1,0,2,4
540,542,2,2,0,0,4,2
540,543,2,0,2,0,1,3
540,546,2,1,1,0,1,1
540,547,2,0,1,1,2,5
540,548,2,0,2,0,1,3
540,720,2,1,1,0,2,2
540,727,2,0,1,1,0,2
540,728,2,2,0,0,6,1
540,798,2,1,1,0,3,3
541,542,2,2,0,0,4,2
541,543,2,1,1,0,3,2
541,546,2,2,0,0,3,0
541,547,2,2,0,0,5,0
541,548,2,2,0,0,4,0
541,720,2,2,0,0,6,0
541,727,2,1,0,1,5,1
541,728,2,1,0,1,5,4
541,798,2,1,0,1,3,2
542,543,2,1,0,1,3,1
542,546,2,0,2,0,0,3
542,547,2,1,1,0,1,1
542,548,2,2,0,0,3,1
542,720,2,1,1,0,3,3
542,727,2,0,0,2,3,3
542,728,2,0,2,0,0,3
542,798,2,1,0,1,2,1
543,546,2,2,0,0,4,2
543,547,2,1,0,1,4,2
543,548,2,1,1,0,3,2
543,720,2,1,1,0,5,2
543,727,2,1,0,1,3,2
543,728,2,0,0,2,3,3
543,798,2,1,1,0,2,2
546,547,2,1,1,0,2,2
546,548,2,1,0,1,3,0
546,720,2,2,0,0,6,0
546,727,2,1,0,1,3,2
546,728,2,0,1,1,0,1
546,798,2,1,1,0,2,2
547,548,2,0,2,0,2,4
547,720,2,2,0,0,4,0
547,727,2,1,1,0,5,2
547,728,2,0,1,1,1,2
547,798,2,1,1,0,2,2
548,720,2,1,0,1,2,1
548,727,2,0,2,0,1,4
548,728,2,0,1,1,3,4
548,798,2,0,2,0,0,3
720,727,2,0,2,0,2,4
720,728,2,0,2,0,1,3
720,798,2,0,2,0,2,4
727,728,2,0,1,1,2,4
727,798,2,1,0,1,2,1
728,798,2,0,1,1,0,1
