fixture_id,team_id,team_name,ball_possession,blocked_shots,corner_kicks,fouls,goalkeeper_saves,offsides,passes_pct,passes_accurate,red_cards,shots_insidebox,shots_off_goal,shots_on_goal,shots_outsidebox,total_shots,total_passes,yellow_cards,expected_goals,goals_prevented
1208494,531,Athletic Club,69.0,2.0,5.0,15.0,1.0,2.0,79.0,352.0,,1.0,1.0,4.0,6.0,7.0,444.0,4.0,0.33,-0.08
1208494,546,Getafe,31.0,2.0,6.0,12.0,3.0,6.0,60.0,116.0,,5.0,5.0,2.0,4.0,9.0,194.0,1.0,0.84,-0.08
1208495,543,Real Betis,39.0,5.0,4.0,11.0,1.0,1.0,82.0,305.0,,10.0,10.0,4.0,9.0,19.0,370.0,2.0,1.38,0.35
1208495,547,Girona,61.0,5.0,4.0,7.0,3.0,3.0,88.0,507.0,,7.0,6.0,2.0,6.0,13.0,577.0,0.0,1.58,0.35
1208496,541,Real Madrid,66.0,3.0,7.0,6.0,4.0,,90.0,598.0,1.0,6.0,5.0,5.0,7.0,13.0,667.0,0.0,0.6,-0.39
1208496,798,Mallorca,34.0,1.0,8.0,11.0,5.0,,83.0,267.0,0.0,8.0,6.0,5.0,4.0,12.0,322.0,1.0,1.03,-0.39
1208497,534,Las Palmas,48.0,4.0,6.0,14.0,4.0,1.0,80.0,345.0,,10.0,6.0,5.0,5.0,15.0,430.0,2.0,1.41,-0.87
1208497,536,Sevilla,52.0,3.0,3.0,15.0,4.0,2.0,82.0,393.0,,12.0,10.0,5.0,6.0,18.0,481.0,2.0,1.85,-0.87
1208498,530,Atletico Madrid,55.0,1.0,3.0,12.0,2.0,2.0,88.0,519.0,,7.0,4.0,4.0,2.0,9.0,592.0,3.0,1.11,-1.24
1208498,533,Villarreal,45.0,2.0,2.0,7.0,2.0,2.0,88.0,420.0,,6.0,4.0,3.0,3.0,9.0,477.0,1.0,0.79,-1.24
1208499,529,Barcelona,64.0,6.0,8.0,13.0,1.0,1.0,86.0,499.0,,12.0,6.0,6.0,6.0,18.0,578.0,3.0,3.22,-0.09
1208499,532,Valencia,36.0,1.0,3.0,11.0,4.0,7.0,77.0,243.0,,4.0,3.0,2.0,2.0,6.0,315.0,2.0,1.01,-0.09
1208500,548,Real Sociedad,66.0,2.0,10.0,14.0,2.0,0.0,81.0,359.0,,7.0,5.0,4.0,4.0,11.0,445.0,2.0,1.08,-0.39
1208500,728,Rayo Vallecano,34.0,3.0,5.0,21.0,3.0,3.0,64.0,151.0,,7.0,4.0,5.0,5.0,12.0,236.0,4.0,1.11,-0.39
1208501,538,Celta Vigo,64.0,0.0,3.0,8.0,1.0,4.0,85.0,471.0,,3.0,2.0,4.0,3.0,6.0,551.0,2.0,0.83,-0.26
1208501,542,Alaves,36.0,3.0,3.0,23.0,2.0,3.0,73.0,218.0,,8.0,5.0,2.0,2.0,10.0,299.0,2.0,1.6,-0.26
1208502,537,Leganes,39.0,4.0,4.0,12.0,6.0,2.0,64.0,193.0,,6.0,2.0,4.0,4.0,10.0,303.0,2.0,0.98,0.26
1208502,727,Osasuna,61.0,5.0,6.0,14.0,3.0,1.0,76.0,347.0,,13.0,5.0,6.0,3.0,16.0,456.0,3.0,1.74,0.26
1208503,530,Atletico Madrid,42.0,3.0,1.0,11.0,4.0,2.0,87.0,404.0,,6.0,2.0,6.0,5.0,11.0,462.0,1.0,1.22,-1.57
1208503,547,Girona,58.0,6.0,9.0,11.0,3.0,2.0,92.0,561.0,,7.0,3.0,4.0,6.0,13.0,610.0,3.0,0.68,-1.57
1208504,532,Valencia,51.0,2.0,7.0,11.0,2.0,1.0,85.0,417.0,,10.0,6.0,5.0,3.0,13.0,492.0,0.0,0.93,-1.1
1208504,538,Celta Vigo,49.0,0.0,4.0,9.0,3.0,2.0,86.0,418.0,,4.0,2.0,5.0,3.0,7.0,486.0,3.0,1.32,-1.1
1208505,546,Getafe,48.0,4.0,3.0,16.0,,0.0,61.0,173.0,,9.0,8.0,0.0,3.0,12.0,284.0,1.0,0.48,
1208505,728,Rayo Vallecano,52.0,1.0,2.0,18.0,,4.0,64.0,198.0,,1.0,2.0,0.0,2.0,3.0,307.0,2.0,0.24,
1208506,541,Real Madrid,64.0,5.0,5.0,10.0,0.0,4.0,92.0,594.0,,13.0,3.0,9.0,4.0,17.0,648.0,1.0,2.14,-1.14
1208506,720,Valladolid,36.0,3.0,5.0,15.0,6.0,0.0,82.0,293.0,,6.0,5.0,0.0,2.0,8.0,359.0,1.0,0.42,-1.14
1208507,533,Villarreal,40.0,0.0,2.0,8.0,6.0,4.0,74.0,263.0,,7.0,2.0,6.0,1.0,8.0,354.0,5.0,0.89,-0.12
