season,player_id,player_name,matches,minutes_total,minutes_avg,rating_avg,starts,sub_apps
2024,20,Axel Witsel,5,135.0,67.5,6.9,2,3
2024,23,Sergio Gómez,6,418.0,69.66666666666667,7.016666666666667,5,1
2024,29,Jan Oblak,4,360.0,90.0,7.0,4,0
2024,31,José María Giménez,5,315.0,78.75,7.375,3,2
2024,48,Saúl Ñíguez,2,179.0,89.5,7.15,2,0
2024,50,Koke,5,363.0,72.6,6.859999999999999,4,1
2024,52,Sergio Camello,5,258.0,51.6,6.82,3,2
2024,53,Ángel Correa,5,120.0,24.0,6.9799999999999995,0,5
2024,56,Antoine Griezmann,5,364.0,72.8,7.42,4,1
2024,83,Arnaut Danjuma,5,303.0,60.6,6.7,4,1
2024,124,Jasper Cillessen,5,450.0,90.0,7.06,5,0
2024,126,Iñaki Peña,5,0.0,,,0,5
2024,127,Marc-André ter Stegen,5,450.0,90.0,6.94,5,0
2024,133,Clément Lenglet,3,0.0,,,0,3
2024,143,Carles Aleñá,4,167.0,41.75,6.9,1,3
2024,155,Abel Ruíz,5,373.0,74.6,6.76,5,0
2024,158,Paulo Gazzaniga,5,450.0,90.0,7.12,5,0
2024,258,Juan Bernat,2,25.0,12.5,6.449999999999999,0,2
2024,278,Kylian Mbappé,5,439.0,87.8,7.4,5,0
2024,314,Raúl Albiol,5,375.0,75.0,6.9,4,1
2024,372,Éder Militão,5,450.0,90.0,7.44,5,0
2024,403,Matija Nastasić,1,45.0,45.0,6.7,0,1
2024,414,Omar Mascarell,6,268.0,53.6,6.8,3,3
2024,433,Marcão,5,203.0,50.75,6.825,2,3
2024,517,James Rodríguez,1,11.0,11.0,6.6,0,1
2024,521,Robert Lewandowski,5,412.0,82.4,7.4799999999999995,5,0
2024,531,Daley Blind,5,450.0,90.0,7.24,5,0
2024,536,Daley Sinkgraven,1,0.0,,,0,1
2024,547,Donny van de Beek,5,30.0,15.0,6.9,0,5
2024,570,Franco Cervi,1,0.0,,,0,1
2024,619,Eric García,4,90.0,22.5,6.625,0,4
2024,653,Ferland Mendy,4,290.0,72.5,7.15,4,0
2024,668,Nabil Fekir,2,180.0,90.0,6.9,2,0
2024,730,Thibaut Courtois,5,450.0,90.0,7.220000000000001,5,0
2024,733,Daniel Carvajal,5,371.0,74.2,7.220000000000001,4,1
2024,736,Fran García,5,160.0,53.333333333333336,7.166666666666667,1,4
2024,737,Álvaro Odriozola,2,30.0,30.0,6.3,0,2
2024,740,Javi Sánchez,4,242.0,80.66666666666667,6.8,3,1
2024,741,Jesús Vallejo,2,0.0,,,0,2
2024,744,Brahim Díaz,5,124.0,24.8,7.159999999999999,2,3
2024,748,Dani Ceballos,4,77.0,38.5,6.800000000000001,1,3
2024,753,Marcos Llorente,5,405.0,81.0,7.459999999999999,4,1
2024,754,Luka Modrić,5,215.0,43.0,7.1,2,3
2024,756,Federico Valverde,5,450.0,90.0,7.840000000000001,5,0
2024,757,Lucas Vázquez,5,99.0,33.0,6.8999999999999995,1,4
2024,762,Vinícius Júnior,5,439.0,87.8,7.4799999999999995,5,0
2024,885,Eric Bailly,4,233.0,77.66666666666667,6.5,3,1
2024,898,Ander Herrera,5,109.0,36.333333333333336,6.7,1,4
2024,919,Hugo Guillamón,5,216.0,54.0,6.7,3,2
2024,920,Toni Lato,5,141.0,70.5,6.6,2,3
2024,928,Dani Parejo,5,315.0,63.0,6.959999999999999,4,1
2024,931,Ferran Torres,5,206.0,41.2,6.94,3,2
2024,957,Djibril Sow,5,296.0,59.2,6.9,3,2
2024,1234,Alex Král,5,393.0,78.6,6.959999999999999,4,1
2024,1257,Jules Koundé,5,450.0,90.0,7.279999999999999,5,0
2024,1264,Youssouf Sabaly,4,332.0,83.0,7.0,4,0
2024,1271,Aurélien Tchouaméni,4,333.0,83.25,7.475,4,0
2024,1304,Dinko Horkaš,3,0.0,,,0,3
2024,1323,Dani Olmo,3,189.0,63.0,7.833333333333333,2,1
2024,1364,Jailson,5,390.0,78.0,6.659999999999999,4,1
2024,1427,Albert Sambi Lokonga,3,153.0,76.5,7.1,2,1
2024,1439,Héctor Bellerín,4,28.0,28.0,7.2,0,4
2024,1461,Denis Suárez,1,0.0,,,0,1
2024,1482,Thierry Correia,5,348.0,69.6,6.7,4,1
2024,1489,Nemanja Gudelj,5,250.0,83.33333333333333,6.833333333333333,3,2
2024,1496,Raphinha,5,450.0,90.0,8.34,5,0
2024,1557,Pau López,4,0.0,,,0,4
2024,1561,Marc Bartra,2,176.0,88.0,7.35,2,0
2024,1578,Giovani Lo Celso,1,29.0,29.0,7.2,0,1
2024,1580,William Carvalho,4,250.0,62.5,6.8,4,0
2024,1631,Ricardo Rodríguez,4,45.0,45.0,6.9,1,3
2024,1697,Pablo Fornals,4,305.0,76.25,7.0,4,0
2024,1700,Iván Martín,5,386.0,77.2,6.840000000000001,5,0
2024,1701,Manu Morlanes,6,277.0,46.166666666666664,6.859999999999999,3,3
2024,1703,Andrei Rațiu,4,260.0,86.66666666666667,7.2,3,1
2024,1707,Gerard Moreno,3,116.0,58.0,7.550000000000001,2,1
2024,1708,Dani Raba,5,134.0,44.666666666666664,6.733333333333333,2,3
2024,1825,Lucas Torró,5,445.0,89.0,6.74,5,0
2024,1826,Sébastien Haller,1,90.0,90.0,6.6,1,0
2024,1911,Lucas Ocampos,2,176.0,88.0,6.95,2,0
2024,1926,Joseph Aidoo,5,8.0,8.0,6.5,0,5
2024,2001,Cyle Larin,6,174.0,43.5,6.525,2,4
2024,2036,Juan Soriano,5,450.0,90.0,7.140000000000001,5,0
2024,2039,Juan Berrocal,3,89.0,89.0,6.9,1,2
2024,2042,Sergi Gómez,5,140.0,35.0,6.825,1,4
2024,2054,Jesús Navas,5,143.0,28.6,6.720000000000001,1,4
2024,2060,Munir El Haddadi,4,64.0,32.0,6.25,1,3
2024,2061,Bryan Gil,5,395.0,79.0,7.26,5,0
2024,2182,Viktor Tsygankov,4,263.0,65.75,7.025,4,0
2024,2202,Hamari Traoré,4,314.0,78.5,6.95,4,0
2024,2278,Marcos Alonso,1,15.0,15.0,6.5,0,1
2024,2280,César Azpilicueta,5,347.0,86.75,7.05,4,1
2024,2282,Andreas Christensen,1,26.0,26.0,6.3,0,1
2024,2285,Antonio Rüdiger,5,450.0,90.0,7.279999999999999,5,0
2024,2433,Renato Tapia,5,115.0,23.0,6.5,1,4
2024,2449,Yangel Herrera,4,269.0,67.25,7.05,4,0
2024,2459,Darwin Machís,5,58.0,58.0,6.3,1,4
2024,2465,Juan Musso,3,90.0,90.0,7.2,1,2
2024,2468,Gonzalo Montiel,4,10.0,10.0,6.7,0,4
2024,2472,Rodrigo de Paul,5,228.0,45.6,7.06,3,2
2024,2575,Jackson Porozo,4,0.0,,,0,4
2024,2617,Cristhian Stuani,5,56.0,18.666666666666668,7.166666666666667,0,5
2024,2670,Iñigo Martínez,5,450.0,90.0,7.140000000000001,5,0
2024,2671,Jaime Mata,5,163.0,32.6,6.5,2,3
2024,2778,Kelechi Iheanacho,4,75.0,37.5,6.75,1,3
2024,2813,Marko Dmitrović,5,0.0,,,0,5
2024,3246,Nicolas Pépé,4,132.0,33.0,6.875,1,3
2024,5974,Julián Chicco,5,112.0,37.333333333333336,6.7,1,4
2024,6009,Julián Álvarez,5,237.0,47.4,6.76,3,2
2024,6085,Carlos Benavídez,5,68.0,22.666666666666668,6.766666666666667,1,4
2024,6168,Omar Alderete,3,270.0,90.0,7.366666666666667,3,0
2024,6233,Nahuel Tenaglia,5,360.0,90.0,7.2,4,1
2024,6503,Nahuel Molina,5,81.0,40.5,6.75,1,4
2024,7332,Luka Sučić,5,182.0,60.666666666666664,7.0,2,3
2024,8492,Alexander Sørloth,5,208.0,41.6,6.8,3,2
2024,8518,Mamadou Sylla,5,171.0,57.0,6.633333333333333,2,3
2024,8587,Selim Amallah,5,331.0,66.2,6.959999999999999,4,1
2024,8683,Irvin Cardona,4,178.0,44.5,6.875,1,3
2024,8718,Maximiliano Caufriez,1,0.0,,,0,1
2024,10009,Rodrygo,5,359.0,71.8,7.5200000000000005,3,2
2024,11379,Augusto Batalla,4,90.0,90.0,6.5,1,3
2024,14341,Stanko Jurić,5,305.0,61.0,6.540000000000001,3,2
2024,15900,Abdul Mumin,5,450.0,90.0,7.040000000000001,5,0
2024,18794,Kiko Femenía,5,450.0,90.0,6.88,5,0
2024,18812,Adrián,4,0.0,,,0,4
2024,18835,Vicente Guaita,4,90.0,90.0,6.6,1,3
2024,18867,Diego Rico,4,354.0,88.5,7.075,4,0
2024,18895,Florian Lejeune,5,450.0,90.0,7.06,5,0
2024,18896,Javier Manquillo,4,115.0,57.5,6.5,2,2
2024,18902,Kenedy,1,12.0,12.0,6.3,0,1
2024,18906,Ayoze Pérez,5,248.0,49.6,7.340000000000001,2,3
2024,18949,Oriol Romeu,4,241.0,60.25,6.675,3,1
2024,19172,Ørjan Nyland,5,450.0,90.0,6.959999999999999,5,0
2024,19337,Oliver McBurnie,5,422.0,84.4,7.0200000000000005,5,0
