referee,matches_officiated,yellow_total,red_total,yellow_avg,red_avg
César Soto,21,8.0,1.0,0.38095238095238093,0.047619047619047616
Alejandro Muñiz,20,11.0,2.0,0.55,0.1
Guillermo Cuadra,20,4.0,0.0,0.2,0.0
Javier Alberola,20,5.0,0.0,0.25,0.0
Pablo González,20,11.0,0.0,0.55,0.0
Alejandro Quintero,19,15.0,0.0,0.7894736842105263,0.0
Adrián Cordero,19,10.0,0.0,0.5263157894736842,0.0
Alejandro Hernández,19,10.0,0.0,0.5263157894736842,0.0
Gil Manzano,19,17.0,1.0,0.8947368421052632,0.05263157894736842
José Munuera,19,5.0,0.0,0.2631578947368421,0.0
José Sánchez,19,18.0,1.0,0.9473684210526315,0.05263157894736842
Francisco Hernández,19,12.0,1.0,0.631578947368421,0.05263157894736842
Ricardo De Burgos,19,10.0,1.0,0.5263157894736842,0.05263157894736842
Mateo Busquets,19,14.0,2.0,0.7368421052631579,0.10526315789473684
Miguel Ortiz,19,12.0,1.0,0.631578947368421,0.05263157894736842
Mario Melero,19,8.0,0.0,0.42105263157894735,0.0
Víctor García,19,5.0,0.0,0.2631578947368421,0.0
Isidro Díaz de Mera,18,11.0,0.0,0.6111111111111112,0.0
Juan Martínez,18,11.0,1.0,0.6111111111111112,0.05555555555555555
Juan Pulido,15,10.0,0.0,0.6666666666666666,0.0
