league_id,league_name,league_type,league_logo,country_name,country_code,country_flag,season,season_start,season_end,season_current,coverage_standings,coverage_players,coverage_top_scorers,coverage_top_assists,coverage_top_cards,coverage_injuries,coverage_predictions,coverage_odds,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_statistics_fixtures,coverage_fixtures_statistics_players,ingestion_date,source_file
140,La Liga,League,https://media.api-sports.io/football/leagues/140.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-08-15,2025-05-25,False,True,True,True,True,True,True,True,False,True,True,True,True,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
141,Segunda División,League,https://media.api-sports.io/football/leagues/141.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-08-15,2025-06-21,False,True,True,True,True,True,False,True,False,True,True,True,True,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
556,Super Cup,Cup,https://media.api-sports.io/football/leagues/556.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2025-01-08,2025-01-12,False,False,True,True,True,True,False,True,False,True,True,True,True,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
436,Primera División RFEF - Group 2,League,https://media.api-sports.io/football/leagues/436.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-08-25,2025-05-25,False,True,True,True,True,True,False,True,False,True,True,False,False,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
435,Primera División RFEF - Group 1,League,https://media.api-sports.io/football/leagues/435.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-08-25,2025-05-25,False,True,True,True,True,True,False,True,False,True,True,False,False,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
875,Segunda División RFEF - Group 1,League,https://media.api-sports.io/football/leagues/875.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-09-01,2025-05-04,False,True,True,True,True,True,False,True,False,True,True,False,False,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
879,Segunda División RFEF - Group 5,League,https://media.api-sports.io/football/leagues/879.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-09-01,2025-05-04,False,True,True,True,True,True,False,True,False,True,True,False,False,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
878,Segunda División RFEF - Group 4,League,https://media.api-sports.io/football/leagues/878.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-09-01,2025-05-04,False,True,True,True,True,True,False,True,False,True,True,False,False,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
877,Segunda División RFEF - Group 3,League,https://media.api-sports.io/football/leagues/877.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-09-01,2025-05-04,False,True,True,True,True,True,False,True,False,True,True,False,False,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
876,Segunda División RFEF - Group 2,League,https://media.api-sports.io/football/leagues/876.png,Spain,ES,https://media.api-sports.io/flags/es.svg,2024,2024-09-01,2025-05-04,False,True,True,True,True,True,False,True,False,True,True,False,False,2026-05-07,leagues/2026-04-28/leagues_spain_2024.json
