team_id,team_name,team_code,country,founded,national,logo,venue_id,venue_name,venue_city,venue_capacity,venue_surface,ingestion_date,source_file
529,Barcelona,BAR,Spain,1899,False,https://media.api-sports.io/football/teams/529.png,19939,Camp Nou,Barcelona,55926,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
530,Atletico Madrid,ATM,Spain,1903,False,https://media.api-sports.io/football/teams/530.png,19217,Estádio Cívitas Metropolitano,Madrid,70460,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
531,Athletic Club,BIL,Spain,1898,False,https://media.api-sports.io/football/teams/531.png,1460,San Mamés Barria,Bilbao,53289,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
532,Valencia,VAL,Spain,1919,False,https://media.api-sports.io/football/teams/532.png,1497,Estadio de Mestalla,Valencia,55000,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
533,Villarreal,VIL,Spain,1923,False,https://media.api-sports.io/football/teams/533.png,1498,Estadio de la Cerámica,Villarreal,24500,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
534,Las Palmas,PAL,Spain,1949,False,https://media.api-sports.io/football/teams/534.png,1481,Estadio de Gran Canaria,Las Palmas de Gran Canaria,32392,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
536,Sevilla,SEV,Spain,1890,False,https://media.api-sports.io/football/teams/536.png,1494,Estadio Ramón Sánchez Pizjuán,Sevilla,48649,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
537,Leganes,LEG,Spain,1928,False,https://media.api-sports.io/football/teams/537.png,1464,Estadio Municipal de Butarque,Leganés,12450,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
538,Celta Vigo,CEL,Spain,1923,False,https://media.api-sports.io/football/teams/538.png,1467,Abanca-Balaídos,Vigo,31800,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
540,Espanyol,ESP,Spain,1900,False,https://media.api-sports.io/football/teams/540.png,20421,Stage Front Stadium,Cornella de Llobregat,40423,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
541,Real Madrid,REA,Spain,1902,False,https://media.api-sports.io/football/teams/541.png,1456,Estadio Santiago Bernabéu,Madrid,85454,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
542,Alaves,ALA,Spain,1921,False,https://media.api-sports.io/football/teams/542.png,1470,Estadio de Mendizorroza,Vitoria-Gasteiz,19840,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
543,Real Betis,BET,Spain,1907,False,https://media.api-sports.io/football/teams/543.png,1489,Estadio Benito Villamarín,Sevilla,60721,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
546,Getafe,GET,Spain,1983,False,https://media.api-sports.io/football/teams/546.png,20422,Estadio Coliseum,Getafe,17393,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
547,Girona,GIR,Spain,1930,False,https://media.api-sports.io/football/teams/547.png,1478,Estadi Municipal de Montilivi,Girona,14500,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
548,Real Sociedad,RSO,Spain,1909,False,https://media.api-sports.io/football/teams/548.png,1491,Reale Arena,Donostia-San Sebastián,40000,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
720,Valladolid,VAL,Spain,1928,False,https://media.api-sports.io/football/teams/720.png,1492,Estadio Municipal José Zorrilla,Valladolid,26512,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
727,Osasuna,OSA,Spain,1920,False,https://media.api-sports.io/football/teams/727.png,1486,Estadio El Sadar,Iruñea,23576,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
728,Rayo Vallecano,RAY,Spain,1924,False,https://media.api-sports.io/football/teams/728.png,1488,Estadio de Vallecas,Madrid,15500,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
798,Mallorca,MAL,Spain,1916,False,https://media.api-sports.io/football/teams/798.png,19940,Estadi Mallorca Son Moix,Palma de Mallorca,23142,grass,2026-05-04,raw/api_football/teams/2026-04-30/teams_league_140_2024.json
