fixture_id,team_id,team_name,stat_type,stat_value,ingestion_date,source_file
1208514,547,Girona,Shots on Goal,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Shots off Goal,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Total Shots,10,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Blocked Shots,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Shots insidebox,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Shots outsidebox,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Fouls,10,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Corner Kicks,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Offsides,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Ball Possession,60%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Yellow Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Goalkeeper Saves,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Total passes,572,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Passes accurate,519,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,Passes %,91%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,expected_goals,2.29,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,547,Girona,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Shots on Goal,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Shots off Goal,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Total Shots,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Blocked Shots,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Shots insidebox,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Shots outsidebox,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Fouls,9,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Corner Kicks,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Offsides,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Ball Possession,40%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Yellow Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Goalkeeper Saves,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Total passes,396,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Passes accurate,332,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,Passes %,84%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,expected_goals,0.04,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208514,727,Osasuna,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208514_statistics.json
1208516,534,Las Palmas,Shots on Goal,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Shots off Goal,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Total Shots,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Blocked Shots,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Shots insidebox,4,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Shots outsidebox,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Fouls,16,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Corner Kicks,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Offsides,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Ball Possession,44%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Yellow Cards,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Goalkeeper Saves,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Total passes,422,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Passes accurate,360,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,Passes %,85%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,expected_goals,0.76,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,534,Las Palmas,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots on Goal,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots off Goal,10,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Total Shots,25,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Blocked Shots,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots insidebox,18,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Shots outsidebox,7,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Fouls,13,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Corner Kicks,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Offsides,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Ball Possession,56%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Yellow Cards,2,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Red Cards,,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Goalkeeper Saves,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Total passes,547,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Passes accurate,477,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,Passes %,87%,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,expected_goals,2.95,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208516,541,Real Madrid,goals_prevented,0,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208516_statistics.json
1208519,548,Real Sociedad,Shots on Goal,1,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Shots off Goal,6,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Total Shots,10,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Blocked Shots,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Shots insidebox,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Shots outsidebox,5,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Fouls,16,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Corner Kicks,8,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
1208519,548,Real Sociedad,Offsides,3,2026-05-07,raw/api_football/fixture_statistics/2026-04-29/fixture_1208519_statistics.json
